id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2022-09-19T16:44:13;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2022-09-19T20:41:05;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2022-09-19T05:44:29;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2022-09-19T01:14:06;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2022-09-19T19:52:00;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2022-09-19T04:38:12;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2022-09-19T07:08:20;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2022-09-19T21:11:44;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2022-09-19T12:32:23;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2022-09-19T01:12:33;32637;8639
